X:1008.6	Y:723
X:1009.2	Y:1606
X:1010	Y:2775
X:1011.1	Y:1980
X:1012	Y:304
X:1012.8	Y:847
X:1013.5	Y:637
X:1014	Y:1373
X:1014.8	Y:1200
X:1015.7	Y:3938
X:1016.4	Y:1462
X:1017.5	Y:430
X:1018.5	Y:1147
X:1019.5	Y:9617
X:1020.1	Y:10814
X:1020.7	Y:15892
X:1022.4	Y:2662
X:1023.1	Y:2076
X:1023.6	Y:563
X:1024.5	Y:384
X:1025.3	Y:481
X:1025.9	Y:507
X:1026.9	Y:1036
X:1027.6	Y:4653
X:1028.5	Y:1767
X:1029.4	Y:747
X:1030.1	Y:484
X:1030.6	Y:638
X:1031.2	Y:413
X:1032.6	Y:2794
X:1033.4	Y:424
X:1033.9	Y:1304
X:1034.7	Y:627
X:1035.3	Y:2529
X:1036.2	Y:912
X:1036.9	Y:2784
X:1037.7	Y:1101
X:1038.4	Y:1550
X:1039.3	Y:765
X:1040.4	Y:572
X:1041.2	Y:487
X:1041.8	Y:392
X:1043.1	Y:1200
X:1043.8	Y:681
X:1044.4	Y:947
X:1045.5	Y:545
X:1046.5	Y:1134
X:1046.9	Y:1028
X:1047.8	Y:733
X:1048.8	Y:1396
X:1049.6	Y:812
X:1050.8	Y:1178
X:1051.5	Y:1488
X:1052	Y:1598
X:1053.4	Y:2712
X:1053.9	Y:670
X:1054.8	Y:1085
X:1058	Y:406
X:1058.9	Y:1748
X:1060.5	Y:937
X:1061.6	Y:2841
X:1062.7	Y:266
X:1063.7	Y:882
X:1064.5	Y:634
X:1065.5	Y:1256
X:1066.7	Y:2464
X:1067.4	Y:1801
X:1068	Y:284
X:1068.5	Y:966
X:1069.7	Y:1704
X:1070.9	Y:1325
X:1072.9	Y:593
X:1073.8	Y:561
X:1074.8	Y:22818
X:1076.2	Y:4517
X:1078.4	Y:1242
X:1079	Y:1620
X:1079.7	Y:340
X:1080.8	Y:837
X:1082.4	Y:589
X:1083	Y:5748
X:1084.1	Y:660
X:1084.7	Y:562
X:1085.9	Y:1533
X:1087.3	Y:956
X:1088.3	Y:1343
X:1089.5	Y:577
X:1092.1	Y:1601
X:1093.1	Y:1405
X:1094.1	Y:524
X:1095.2	Y:458
X:1096.3	Y:1617
X:1097.1	Y:1335
X:1097.7	Y:569
X:1098.3	Y:474
X:1099.8	Y:1611
X:1100.5	Y:14356
X:1101	Y:16270
X:1101.5	Y:7880
X:1102.1	Y:3367
X:1102.6	Y:2960
X:1103.2	Y:1175
X:1104.6	Y:749
X:1105.4	Y:1196
X:1106.2	Y:531
X:1107.3	Y:590
X:1107.9	Y:826
X:1108.4	Y:1870
X:1109.1	Y:501
X:1109.5	Y:384
X:1110.3	Y:337
X:1110.7	Y:323
X:1111	Y:471
X:1113.4	Y:665
X:1114.1	Y:312
X:1114.8	Y:1241
X:1116.3	Y:483
X:1117.4	Y:463
X:1118.1	Y:1194
X:1118.7	Y:894
X:1119.4	Y:1011
X:1119.8	Y:994
X:1120.3	Y:674
X:1121.1	Y:3326
X:1121.5	Y:4155
X:1122.6	Y:1972
X:1123.7	Y:2039
X:1124.4	Y:1176
X:1125.7	Y:1215
X:1126.3	Y:625
X:1127.1	Y:3349
X:1128.6	Y:1237
X:1129.3	Y:1069
X:1130	Y:1864
X:1130.7	Y:601
X:1131.4	Y:459
X:1132.1	Y:1034
X:1132.5	Y:1075
X:1132.9	Y:769
X:1134.2	Y:383
X:1134.6	Y:769
X:1135	Y:625
X:1137.7	Y:520
X:1138.1	Y:758
X:1138.5	Y:329
X:1140.1	Y:2657
X:1140.8	Y:420
X:1141.6	Y:376
X:1142.2	Y:513
X:1142.8	Y:990
X:1143.3	Y:1252
X:1145.8	Y:1022
X:1146.4	Y:1391
X:1147.1	Y:303
X:1147.6	Y:776
X:1150.2	Y:958
X:1151.2	Y:533
X:1151.7	Y:974
X:1152.4	Y:985
X:1153.1	Y:1002
X:1154.6	Y:643
X:1155.3	Y:368
X:1155.9	Y:1473
X:1157.9	Y:539
X:1158.5	Y:660
X:1160.3	Y:856
X:1161.7	Y:1470
X:1162.6	Y:1854
X:1164.6	Y:1067
X:1166.2	Y:298
X:1167	Y:1517
X:1168.5	Y:697
X:1169.4	Y:304
X:1170.1	Y:702
X:1170.9	Y:402
X:1173.7	Y:326
X:1174.8	Y:600
X:1175.9	Y:743
X:1177.2	Y:1560
X:1178.5	Y:768
X:1179.1	Y:2853
X:1180	Y:929
X:1180.6	Y:646
X:1181.9	Y:3048
X:1182.6	Y:895
X:1183.1	Y:697
X:1184.2	Y:1008
X:1184.8	Y:743
X:1185.7	Y:7863
X:1186.2	Y:2123
X:1186.8	Y:591
X:1188.2	Y:595
X:1188.8	Y:839
X:1189.9	Y:940
X:1190.7	Y:1577
X:1192.1	Y:1193
X:1193.6	Y:425
X:1194.1	Y:562
X:1194.7	Y:403
X:1195.4	Y:606
X:1197.5	Y:378
X:1200	Y:1435
X:1200.6	Y:2772
X:1202.1	Y:17540
X:1202.6	Y:23833
X:1203.1	Y:16180
X:1203.6	Y:6725
X:1205.6	Y:1056
X:1206.5	Y:488
X:1206.9	Y:403
X:1207.8	Y:774
X:1209.4	Y:1174
X:1209.8	Y:837
X:1211.5	Y:1011
X:1212.1	Y:470
X:1212.6	Y:1393
X:1213.2	Y:901
X:1214.7	Y:414
X:1215.3	Y:409
X:1215.8	Y:289
X:1216.9	Y:1138
X:1218.9	Y:802
X:1219.9	Y:1560
X:1220.6	Y:450
X:1222	Y:281
X:1222.9	Y:888
X:1223.5	Y:611
X:1224	Y:483
X:1225.6	Y:729
X:1226.5	Y:294
X:1227.4	Y:377
X:1228.4	Y:1404
X:1229	Y:754
X:1229.6	Y:638
X:1230.2	Y:710
X:1230.5	Y:710
X:1231.2	Y:1028
X:1232.6	Y:2954
X:1233.5	Y:393
X:1234.4	Y:1063
X:1236.2	Y:538
X:1236.7	Y:848
X:1237.7	Y:515
X:1238.5	Y:954
X:1238.9	Y:532
X:1239.5	Y:674
X:1240.5	Y:898
X:1241	Y:802
X:1243.2	Y:312
X:1244	Y:410
X:1244.4	Y:441
X:1248.5	Y:317
X:1249	Y:1380
X:1249.5	Y:721
